date,seaport,ships_arrived,passengers,positive_cases
2020-09-02,thoothukudi,5,2286,34
2020-09-02,total,6,2447,34
2020-09-03,chennai,1,161,0
2020-09-03,thoothukudi,5,2286,34
2020-09-03,total,6,2447,34
2020-09-04,chennai,1,161,0
2020-09-04,thoothukudi,5,2286,34
2020-09-04,total,6,2447,34
2020-09-07,chennai,1,161,0
2020-09-07,thoothukudi,5,2286,34
2020-09-07,total,6,2447,34
2020-09-09,chennai,1,161,0
2020-09-09,thoothukudi,5,2286,34
2020-09-09,total,6,2447,34
2020-09-10,chennai,1,161,0
2020-09-10,thoothukudi,5,2286,34
2020-09-10,total,6,2447,34
2020-09-11,chennai,1,161,0
2020-09-11,thoothukudi,5,2286,34
2020-09-11,total,6,2447,34
2020-09-12,chennai,1,161,0
2020-09-12,thoothukudi,5,2286,34
2020-09-12,total,6,2447,34
2020-09-14,chennai,1,161,0
2020-09-14,thoothukudi,5,2286,34
2020-09-14,total,6,2447,34
2020-09-15,chennai,1,161,0
2020-09-15,thoothukudi,5,2286,34
2020-09-15,total,6,2447,34
2020-09-16,chennai,1,161,0
2020-09-16,thoothukudi,5,2286,34
2020-09-16,total,6,2447,34
2020-09-17,chennai,1,161,0
2020-09-17,thoothukudi,5,2286,34
2020-09-17,total,6,2447,34
2020-09-18,chennai,1,161,0
2020-09-18,thoothukudi,5,2286,34
2020-09-18,total,6,2447,34
2020-09-20,chennai,1,161,0
2020-09-20,thoothukudi,5,2286,34
2020-09-20,total,6,2447,34
2020-09-21,chennai,1,161,0
2020-09-21,thoothukudi,5,2286,34
2020-09-21,total,6,2447,34
2020-09-22,chennai,1,161,0
2020-09-22,thoothukudi,5,2286,34
2020-09-22,total,6,2447,34
2020-09-23,chennai,1,161,0
2020-09-23,thoothukudi,5,2286,34
2020-09-23,total,6,2447,34
2020-09-24,chennai,1,161,0
2020-09-24,thoothukudi,5,2286,34
2020-09-24,total,6,2447,34
2020-09-25,chennai,1,161,0
2020-09-25,thoothukudi,5,2286,34
2020-09-25,total,6,2447,34
2020-09-27,chennai,1,161,0
2020-09-27,thoothukudi,5,2286,34
2020-09-27,total,6,2447,34
2020-09-28,chennai,1,161,0
2020-09-28,thoothukudi,5,2286,34
2020-09-28,total,6,2447,34
2020-09-29,chennai,1,161,0
2020-09-29,thoothukudi,5,2286,34
2020-09-29,total,6,2447,34
2020-09-30,chennai,1,161,0
2020-09-30,thoothukudi,5,2286,34
2020-09-30,total,6,2447,34
2020-10-01,chennai,1,161,0
2020-10-01,thoothukudi,5,2286,34
2020-10-01,total,6,2447,34
2020-10-02,chennai,1,161,0
2020-10-02,thoothukudi,5,2286,34
2020-10-02,total,6,2447,34
2020-10-03,chennai,1,161,0
2020-10-03,thoothukudi,5,2286,34
2020-10-03,total,6,2447,34
2020-10-04,chennai,1,161,0
2020-10-04,thoothukudi,5,2286,34
2020-10-04,total,6,2447,34
2020-10-05,chennai,1,161,0
2020-10-05,thoothukudi,5,2286,34
2020-10-05,total,6,2447,34
2020-10-06,chennai,1,161,0
2020-10-06,thoothukudi,5,2286,34
2020-10-06,total,6,2447,34
2020-10-07,chennai,1,161,0
2020-10-07,thoothukudi,5,2286,34
2020-10-07,total,6,2447,34
2020-10-08,chennai,1,161,0
2020-10-08,thoothukudi,5,2286,34
2020-10-08,total,6,2447,34
2020-10-09,chennai,1,161,0
2020-10-09,thoothukudi,5,2286,34
2020-10-09,total,6,2447,34
2020-10-11,chennai,1,161,0
2020-10-11,thoothukudi,5,2286,34
2020-10-11,total,6,2447,34
2020-10-12,chennai,1,161,0
2020-10-12,thoothukudi,5,2286,34
2020-10-12,total,6,2447,34
2020-10-13,chennai,1,161,0
2020-10-13,thoothukudi,5,2286,34
2020-10-13,total,6,2447,34
2020-10-14,chennai,1,161,0
2020-10-14,thoothukudi,5,2286,34
2020-10-14,total,6,2447,34
2020-10-15,chennai,1,161,0
2020-10-15,thoothukudi,5,2286,34
2020-10-15,total,6,2447,34
2020-10-16,chennai,1,161,0
2020-10-16,thoothukudi,5,2286,34
2020-10-16,total,6,2447,34
2020-10-17,chennai,1,161,0
2020-10-17,thoothukudi,5,2286,34
2020-10-17,total,6,2447,34
2020-10-18,chennai,1,161,0
2020-10-18,thoothukudi,5,2286,34
2020-10-18,total,6,2447,34
2020-10-19,chennai,1,161,0
2020-10-19,thoothukudi,5,2286,34
2020-10-19,total,6,2447,34
2020-10-20,chennai,1,161,0
2020-10-20,thoothukudi,5,2286,34
2020-10-20,total,6,2447,34
2020-10-22,chennai,1,161,0
2020-10-22,thoothukudi,5,2286,34
2020-10-22,total,6,2447,34
2020-10-23,chennai,1,161,0
2020-10-23,thoothukudi,5,2286,34
2020-10-23,total,6,2447,34
2020-10-24,chennai,1,161,0
2020-10-24,thoothukudi,5,2286,34
2020-10-24,total,6,2447,34
2020-10-25,chennai,1,161,0
2020-10-25,thoothukudi,5,2286,34
2020-10-25,total,6,2447,34
2020-10-26,chennai,1,161,0
2020-10-26,thoothukudi,5,2286,34
2020-10-26,total,6,2447,34
2020-10-27,chennai,1,161,0
2020-10-27,thoothukudi,5,2286,34
2020-10-27,total,6,2447,34
2020-10-28,chennai,1,161,0
2020-10-28,thoothukudi,5,2286,34
2020-10-28,total,6,2447,34
2020-10-29,chennai,1,161,0
2020-10-29,thoothukudi,5,2286,34
2020-10-29,total,6,2447,34
2020-10-30,chennai,1,161,0
2020-10-30,thoothukudi,5,2286,34
2020-10-30,total,6,2447,34
2020-10-31,chennai,1,161,0
2020-10-31,thoothukudi,5,2286,34
2020-10-31,total,6,2447,34
2020-11-01,chennai,1,161,0
2020-11-01,thoothukudi,5,2286,34
2020-11-01,total,6,2447,34
2020-11-02,chennai,1,161,0
2020-11-02,thoothukudi,5,2286,34
2020-11-02,total,6,2447,34
2020-11-03,chennai,1,161,0
2020-11-03,thoothukudi,5,2286,34
2020-11-03,total,6,2447,34
2020-11-04,chennai,1,161,0
2020-11-04,thoothukudi,5,2286,34
2020-11-04,total,6,2447,34
2020-11-05,chennai,1,161,0
2020-11-05,thoothukudi,5,2286,34
2020-11-05,total,6,2447,34
2020-11-06,chennai,1,161,0
2020-11-06,thoothukudi,5,2286,34
2020-11-06,total,6,2447,34
2020-11-07,chennai,1,161,0
2020-11-07,thoothukudi,5,2286,34
2020-11-07,total,6,2447,34
2020-11-08,chennai,1,161,0
2020-11-08,thoothukudi,5,2286,34
2020-11-08,total,6,2447,34
2020-11-09,chennai,1,161,0
2020-11-09,thoothukudi,5,2286,34
2020-11-09,total,6,2447,34
2020-11-10,chennai,1,161,0
2020-11-10,thoothukudi,5,2286,34
2020-11-10,total,6,2447,34
2020-11-11,chennai,1,161,0
2020-11-11,thoothukudi,5,2286,34
2020-11-11,total,6,2447,34
2020-11-12,chennai,1,161,0
2020-11-12,thoothukudi,5,2286,34
2020-11-12,total,6,2447,34
2020-11-13,chennai,1,161,0
2020-11-13,thoothukudi,5,2286,34
2020-11-13,total,6,2447,34
2020-11-16,chennai,1,161,0
2020-11-16,thoothukudi,5,2286,34
2020-11-16,total,6,2447,34
2020-11-17,chennai,1,161,0
2020-11-17,thoothukudi,5,2286,34
2020-11-17,total,6,2447,34
2020-11-18,chennai,1,161,0
2020-11-18,thoothukudi,5,2286,34
2020-11-18,total,6,2447,34
2020-11-19,chennai,1,161,0
2020-11-19,thoothukudi,5,2286,34
2020-11-19,total,6,2447,34
2020-11-20,chennai,1,161,0
2020-11-20,thoothukudi,5,2286,34
2020-11-20,total,6,2447,34
2020-11-21,chennai,1,161,0
2020-11-21,thoothukudi,5,2286,34
2020-11-21,total,6,2447,34
2020-11-22,chennai,1,161,0
2020-11-22,thoothukudi,5,2286,34
2020-11-22,total,6,2447,34
2020-11-23,chennai,1,161,0
2020-11-23,thoothukudi,5,2286,34
2020-11-23,total,6,2447,34
2020-11-24,chennai,1,161,0
2020-11-24,thoothukudi,5,2286,34
2020-11-24,total,6,2447,34
2020-11-25,chennai,1,161,0
2020-11-25,thoothukudi,5,2286,34
2020-11-25,total,6,2447,34
2020-11-26,chennai,1,161,0
2020-11-26,thoothukudi,5,2286,34
2020-11-26,total,6,2447,34
2020-11-27,chennai,1,161,0
2020-11-27,thoothukudi,5,2286,34
2020-11-27,total,6,2447,34
2020-11-28,chennai,1,161,0
2020-11-28,thoothukudi,5,2286,34
2020-11-28,total,6,2447,34
2020-11-29,chennai,1,161,0
2020-11-29,thoothukudi,5,2286,34
2020-11-29,total,6,2447,34
2020-12-01,chennai,1,161,0
2020-12-01,thoothukudi,5,2286,34
2020-12-01,total,6,2447,34
2020-12-02,chennai,1,161,0
2020-12-02,thoothukudi,5,2286,34
2020-12-02,total,6,2447,34
2020-12-03,chennai,1,161,0
2020-12-03,thoothukudi,5,2286,34
2020-12-03,total,6,2447,34
2020-12-05,chennai,1,161,0
2020-12-05,thoothukudi,5,2286,34
2020-12-05,total,6,2447,34
2020-12-06,chennai,1,161,0
2020-12-06,thoothukudi,5,2286,34
2020-12-06,total,6,2447,34
2020-12-07,chennai,1,161,0
2020-12-07,thoothukudi,5,2286,34
2020-12-07,total,6,2447,34
2020-12-08,chennai,1,161,0
2020-12-08,thoothukudi,5,2286,34
2020-12-08,total,6,2447,34
2020-12-09,chennai,1,161,0
2020-12-09,thoothukudi,5,2286,34
2020-12-09,total,6,2447,34
2020-12-10,chennai,1,161,0
2020-12-10,thoothukudi,5,2286,34
2020-12-10,total,6,2447,34
2020-12-11,chennai,1,161,0
2020-12-11,thoothukudi,5,2286,34
2020-12-11,total,6,2447,34
2020-12-12,chennai,1,161,0
2020-12-12,thoothukudi,5,2286,34
2020-12-12,total,6,2447,34
2020-12-13,chennai,1,161,0
2020-12-13,thoothukudi,5,2286,34
2020-12-13,total,6,2447,34
2020-12-14,chennai,1,161,0
2020-12-14,thoothukudi,5,2286,34
2020-12-14,total,6,2447,34
2020-12-15,chennai,1,161,0
2020-12-15,thoothukudi,5,2286,34
2020-12-15,total,6,2447,34
2020-12-17,chennai,1,161,0
2020-12-17,thoothukudi,5,2286,34
2020-12-17,total,6,2447,34
2020-12-18,chennai,1,161,0
2020-12-18,thoothukudi,5,2286,34
2020-12-18,total,6,2447,34
2020-12-19,chennai,1,161,0
2020-12-19,thoothukudi,5,2286,34
2020-12-19,total,6,2447,34
2020-12-20,chennai,1,161,0
2020-12-20,thoothukudi,5,2286,34
2020-12-20,total,6,2447,34
2020-12-21,chennai,1,161,0
2020-12-21,thoothukudi,5,2286,34
2020-12-21,total,6,2447,34
2020-12-22,chennai,1,161,0
2020-12-22,thoothukudi,5,2286,34
2020-12-22,total,6,2447,34
2020-12-23,chennai,1,161,0
2020-12-23,thoothukudi,5,2286,34
2020-12-23,total,6,2447,34
2020-12-24,chennai,1,161,0
2020-12-24,thoothukudi,5,2286,34
2020-12-24,total,6,2447,34
2020-12-25,chennai,1,161,0
2020-12-25,thoothukudi,5,2286,34
2020-12-25,total,6,2447,34
2020-12-26,chennai,1,161,0
2020-12-26,thoothukudi,5,2286,34
2020-12-26,total,6,2447,34
2020-12-27,chennai,1,161,0
2020-12-27,thoothukudi,5,2286,34
2020-12-27,total,6,2447,34
2020-12-28,chennai,1,161,0
2020-12-28,thoothukudi,5,2286,34
2020-12-28,total,6,2447,34
2020-12-29,chennai,1,161,0
2020-12-29,thoothukudi,5,2286,34
2020-12-29,total,6,2447,34
2020-12-30,chennai,1,161,0
2020-12-30,thoothukudi,5,2286,34
2020-12-30,total,6,2447,34
2020-12-31,chennai,1,161,0
2020-12-31,thoothukudi,5,2286,34
2020-12-31,total,6,2447,34
2021-01-01,chennai,1,161,0
2021-01-01,thoothukudi,5,2286,34
2021-01-01,total,6,2447,34
2021-01-02,chennai,1,161,0
2021-01-02,thoothukudi,5,2286,34
2021-01-02,total,6,2447,34
2021-01-03,chennai,1,161,0
2021-01-03,thoothukudi,5,2286,34
2021-01-03,total,6,2447,34
2021-01-04,chennai,1,161,0
2021-01-04,thoothukudi,5,2286,34
2021-01-04,total,6,2447,34
2021-01-05,chennai,1,161,0
2021-01-05,thoothukudi,5,2286,34
2021-01-05,total,6,2447,34
2021-01-06,chennai,1,161,0
2021-01-06,thoothukudi,5,2286,34
2021-01-06,total,6,2447,34
2021-01-07,chennai,1,161,0
2021-01-07,thoothukudi,5,2286,34
2021-01-07,total,6,2447,34
2021-01-08,chennai,1,161,0
2021-01-08,thoothukudi,5,2286,34
2021-01-08,total,6,2447,34
2021-01-09,chennai,1,161,0
2021-01-09,thoothukudi,5,2286,34
2021-01-09,total,6,2447,34
2021-01-10,chennai,1,161,0
2021-01-10,thoothukudi,5,2286,34
2021-01-10,total,6,2447,34
2021-01-11,chennai,1,161,0
2021-01-11,thoothukudi,5,2286,34
2021-01-11,total,6,2447,34
2021-01-12,chennai,1,161,0
2021-01-12,thoothukudi,5,2286,34
2021-01-12,total,6,2447,34
2021-01-13,chennai,1,161,0
2021-01-13,thoothukudi,5,2286,34
2021-01-13,total,6,2447,34
2021-01-14,chennai,1,161,0
2021-01-14,thoothukudi,5,2286,34
2021-01-14,total,6,2447,34
2021-01-15,chennai,1,161,0
2021-01-15,thoothukudi,5,2286,34
2021-01-15,total,6,2447,34
2021-01-16,chennai,1,161,0
2021-01-16,thoothukudi,5,2286,34
2021-01-16,total,6,2447,34
2021-01-17,chennai,1,161,0
2021-01-17,thoothukudi,5,2286,34
2021-01-17,total,6,2447,34
2021-01-18,chennai,1,161,0
2021-01-18,thoothukudi,5,2286,34
2021-01-18,total,6,2447,34
2021-01-19,chennai,1,161,0
2021-01-19,thoothukudi,5,2286,34
2021-01-19,total,6,2447,34
2021-01-21,chennai,1,161,0
2021-01-21,thoothukudi,5,2286,34
2021-01-21,total,6,2447,34
2021-01-22,chennai,1,161,0
2021-01-22,thoothukudi,5,2286,34
2021-01-22,total,6,2447,34
2021-01-23,chennai,1,161,0
2021-01-23,thoothukudi,5,2286,34
2021-01-23,total,6,2447,34
2021-01-24,chennai,1,161,0
2021-01-24,thoothukudi,5,2286,34
2021-01-24,total,6,2447,34
2021-01-25,chennai,1,161,0
2021-01-25,thoothukudi,5,2286,34
2021-01-25,total,6,2447,34
2021-01-26,chennai,1,161,0
2021-01-26,thoothukudi,5,2286,34
2021-01-26,total,6,2447,34
2021-01-27,chennai,1,161,0
2021-01-27,thoothukudi,5,2286,34
2021-01-27,total,6,2447,34
2021-01-28,chennai,1,161,0
2021-01-28,thoothukudi,5,2286,34
2021-01-28,total,6,2447,34
2021-01-29,chennai,1,161,0
2021-01-29,thoothukudi,5,2286,34
2021-01-29,total,6,2447,34
2021-01-30,chennai,1,161,0
2021-01-30,thoothukudi,5,2286,34
2021-01-30,total,6,2447,34
2021-01-31,chennai,1,161,0
2021-01-31,thoothukudi,5,2286,34
2021-01-31,total,6,2447,34
2021-02-01,chennai,1,161,0
2021-02-01,thoothukudi,5,2286,34
2021-02-01,total,6,2447,34
2021-02-02,chennai,1,161,0
2021-02-02,thoothukudi,5,2286,34
2021-02-02,total,6,2447,34
2021-02-03,chennai,1,161,0
2021-02-03,thoothukudi,5,2286,34
2021-02-03,total,6,2447,34
2021-02-04,chennai,1,161,0
2021-02-04,thoothukudi,5,2286,34
2021-02-04,total,6,2447,34
2021-02-05,chennai,1,161,0
2021-02-05,thoothukudi,5,2286,34
2021-02-05,total,6,2447,34
2021-02-06,chennai,1,161,0
2021-02-06,thoothukudi,5,2286,34
2021-02-06,total,6,2447,34
2021-02-07,chennai,1,161,0
2021-02-07,thoothukudi,5,2286,34
2021-02-07,total,6,2447,34
2021-02-08,chennai,1,161,0
2021-02-08,thoothukudi,5,2286,34
2021-02-08,total,6,2447,34
2021-02-09,chennai,1,161,0
2021-02-09,thoothukudi,5,2286,34
2021-02-09,total,6,2447,34
2021-02-10,chennai,1,161,0
2021-02-10,thoothukudi,5,2286,34
2021-02-10,total,6,2447,34
2021-02-11,chennai,1,161,0
2021-02-11,thoothukudi,5,2286,34
2021-02-11,total,6,2447,34
2021-02-12,chennai,1,161,0
2021-02-12,thoothukudi,5,2286,34
2021-02-12,total,6,2447,34
2021-02-13,chennai,1,161,0
2021-02-13,thoothukudi,5,2286,34
2021-02-13,total,6,2447,34
2021-02-14,chennai,1,161,0
2021-02-14,thoothukudi,5,2286,34
2021-02-14,total,6,2447,34
2021-02-15,chennai,1,161,0
2021-02-15,thoothukudi,5,2286,34
2021-02-15,total,6,2447,34
2021-02-16,chennai,1,161,0
2021-02-16,thoothukudi,5,2286,34
2021-02-16,total,6,2447,34
2021-02-17,chennai,1,161,0
2021-02-17,thoothukudi,5,2286,34
2021-02-17,total,6,2447,34
2021-02-18,chennai,1,161,0
2021-02-18,thoothukudi,5,2286,34
2021-02-18,total,6,2447,34
2021-02-19,chennai,1,161,0
2021-02-19,thoothukudi,5,2286,34
2021-02-19,total,6,2447,34
2021-02-20,chennai,1,161,0
2021-02-20,thoothukudi,5,2286,34
2021-02-20,total,6,2447,34
2021-02-21,chennai,1,161,0
2021-02-21,thoothukudi,5,2286,34
2021-02-21,total,6,2447,34
2021-02-22,chennai,1,161,0
2021-02-22,thoothukudi,5,2286,34
2021-02-22,total,6,2447,34
2021-02-23,chennai,1,161,0
2021-02-23,thoothukudi,5,2286,34
2021-02-23,total,6,2447,34
2021-02-24,chennai,1,161,0
2021-02-24,thoothukudi,5,2286,34
2021-02-24,total,6,2447,34
2021-02-25,chennai,1,161,0
2021-02-25,thoothukudi,5,2286,34
2021-02-25,total,6,2447,34
2021-02-26,chennai,1,161,0
2021-02-26,thoothukudi,5,2286,34
2021-02-26,total,6,2447,34
2021-02-27,chennai,1,161,0
2021-02-27,thoothukudi,5,2286,34
2021-02-27,total,6,2447,34
2021-02-28,chennai,1,161,0
2021-02-28,thoothukudi,5,2286,34
2021-02-28,total,6,2447,34
2021-03-01,chennai,1,161,0
2021-03-01,thoothukudi,5,2286,34
2021-03-01,total,6,2447,34
2021-03-02,chennai,1,161,0
2021-03-02,thoothukudi,5,2286,34
2021-03-02,total,6,2447,34
2021-03-03,chennai,1,161,0
2021-03-03,thoothukudi,5,2286,34
2021-03-03,total,6,2447,34
2021-03-04,chennai,1,161,0
2021-03-04,thoothukudi,5,2286,34
2021-03-04,total,6,2447,34
2021-03-05,chennai,1,161,0
2021-03-05,thoothukudi,5,2286,34
2021-03-05,total,6,2447,34
2021-03-06,chennai,1,161,0
2021-03-06,thoothukudi,5,2286,34
2021-03-06,total,6,2447,34
2021-03-07,chennai,1,161,0
2021-03-07,thoothukudi,5,2286,34
2021-03-07,total,6,2447,34
2021-03-08,chennai,1,161,0
2021-03-08,thoothukudi,5,2286,34
2021-03-08,total,6,2447,34
2021-03-09,chennai,1,161,0
2021-03-09,thoothukudi,5,2286,34
2021-03-09,total,6,2447,34
2021-03-10,chennai,1,161,0
2021-03-10,thoothukudi,5,2286,34
2021-03-10,total,6,2447,34
2021-03-11,chennai,1,161,0
2021-03-11,thoothukudi,5,2286,34
2021-03-11,total,6,2447,34
2021-03-12,chennai,1,161,0
2021-03-12,thoothukudi,5,2286,34
2021-03-12,total,6,2447,34
2021-03-13,chennai,1,161,0
2021-03-13,thoothukudi,5,2286,34
2021-03-13,total,6,2447,34
2021-03-14,chennai,1,161,0
2021-03-14,thoothukudi,5,2286,34
2021-03-14,total,6,2447,34
2021-03-15,chennai,1,161,0
2021-03-15,thoothukudi,5,2286,34
2021-03-15,total,6,2447,34
2021-03-16,chennai,1,161,0
2021-03-16,thoothukudi,5,2286,34
2021-03-16,total,6,2447,34
2021-03-17,chennai,1,161,0
2021-03-17,thoothukudi,5,2286,34
2021-03-17,total,6,2447,34
2021-03-18,chennai,1,161,0
2021-03-18,thoothukudi,5,2286,34
2021-03-18,total,6,2447,34
2021-03-19,chennai,1,161,0
2021-03-19,thoothukudi,5,2286,34
2021-03-19,total,6,2447,34
2021-03-20,chennai,1,161,0
2021-03-20,thoothukudi,5,2286,34
2021-03-20,total,6,2447,34
2021-03-21,chennai,1,161,0
2021-03-21,thoothukudi,5,2286,34
2021-03-21,total,6,2447,34
2021-03-22,chennai,1,161,0
2021-03-22,thoothukudi,5,2286,34
2021-03-22,total,6,2447,34
2021-03-23,chennai,1,161,0
2021-03-23,thoothukudi,5,2286,34
2021-03-23,total,6,2447,34
2021-03-24,chennai,1,161,0
2021-03-24,thoothukudi,5,2286,34
2021-03-24,total,6,2447,34
2021-03-25,chennai,1,161,0
2021-03-25,thoothukudi,5,2286,34
2021-03-25,total,6,2447,34
2021-03-26,chennai,1,161,0
2021-03-26,thoothukudi,5,2286,34
2021-03-26,total,6,2447,34
2021-03-27,chennai,1,161,0
2021-03-27,thoothukudi,5,2286,34
2021-03-27,total,6,2447,34
2021-03-28,chennai,1,161,0
2021-03-28,thoothukudi,5,2286,34
2021-03-28,total,6,2447,34
2021-03-29,chennai,1,161,0
2021-03-29,thoothukudi,5,2286,34
2021-03-29,total,6,2447,34
2021-03-30,chennai,1,161,0
2021-03-30,thoothukudi,5,2286,34
2021-03-30,total,6,2447,34
2021-03-31,chennai,1,161,0
2021-03-31,thoothukudi,5,2286,34
2021-03-31,total,6,2447,34
2021-04-01,chennai,1,161,0
2021-04-01,thoothukudi,5,2286,34
2021-04-01,total,6,2447,34
2021-04-02,chennai,1,161,0
2021-04-02,thoothukudi,5,2286,34
2021-04-02,total,6,2447,34
2021-04-03,chennai,1,161,0
2021-04-03,thoothukudi,5,2286,34
2021-04-03,total,6,2447,34
2021-04-04,chennai,1,161,0
2021-04-04,thoothukudi,5,2286,34
2021-04-04,total,6,2447,34
2021-04-05,chennai,1,161,0
2021-04-05,thoothukudi,5,2286,34
2021-04-05,total,6,2447,34
2021-04-06,chennai,1,161,0
2021-04-06,thoothukudi,5,2286,34
2021-04-06,total,6,2447,34
2021-04-07,chennai,1,161,0
2021-04-07,thoothukudi,5,2286,34
2021-04-07,total,6,2447,34
2021-04-08,chennai,1,161,0
2021-04-08,thoothukudi,5,2286,34
2021-04-08,total,6,2447,34
2021-04-09,chennai,1,161,0
2021-04-09,thoothukudi,5,2286,34
2021-04-09,total,6,2447,34
2021-04-10,chennai,1,161,0
2021-04-10,thoothukudi,5,2286,34
2021-04-10,total,6,2447,34
2021-04-11,chennai,1,161,0
2021-04-11,thoothukudi,5,2286,34
2021-04-11,total,6,2447,34
2021-04-12,chennai,1,161,0
2021-04-12,thoothukudi,5,2286,34
2021-04-12,total,6,2447,34
2021-04-13,chennai,1,161,0
2021-04-13,thoothukudi,5,2286,34
2021-04-13,total,6,2447,34
2021-04-14,chennai,1,161,0
2021-04-14,thoothukudi,5,2286,34
2021-04-14,total,6,2447,34
2021-04-15,chennai,1,161,0
2021-04-15,thoothukudi,5,2286,34
2021-04-15,total,6,2447,34
2021-04-16,chennai,1,161,0
2021-04-16,thoothukudi,5,2286,34
2021-04-16,total,6,2447,34
2021-04-17,chennai,1,161,0
2021-04-17,thoothukudi,5,2286,34
2021-04-17,total,6,2447,34
2021-04-18,chennai,1,161,0
2021-04-18,thoothukudi,5,2286,34
2021-04-18,total,6,2447,34
2021-04-19,chennai,1,161,0
2021-04-19,thoothukudi,5,2286,34
2021-04-19,total,6,2447,34
2021-04-20,chennai,1,161,0
2021-04-20,thoothukudi,5,2286,34
2021-04-20,total,6,2447,34
2021-04-21,chennai,1,161,0
2021-04-21,thoothukudi,5,2286,34
2021-04-21,total,6,2447,34
2021-04-22,chennai,1,161,0
2021-04-22,thoothukudi,5,2286,34
2021-04-22,total,6,2447,34
2021-04-23,chennai,1,161,0
2021-04-23,thoothukudi,5,2286,34
2021-04-23,total,6,2447,34
2021-04-24,chennai,1,161,0
2021-04-24,thoothukudi,5,2286,34
2021-04-24,total,6,2447,34
2021-04-25,chennai,1,161,0
2021-04-25,thoothukudi,5,2286,34
2021-04-25,total,6,2447,34
2021-04-26,chennai,1,161,0
2021-04-26,thoothukudi,5,2286,34
2021-04-26,total,6,2447,34
2021-04-27,chennai,1,161,0
